Block,Treatment,Density,sp,tag,DBH,Ht,collection,Julian.date,tissue
B4,C,2m,C,1,19.73144698,13.5,1-leaf out,111,Branches
B4,C,2m,C,2,11.04536102,10.7,1-leaf out,111,Branches
B4,C,2m,C,3,12.71416533,11,1-leaf out,111,Branches
B4,C,2m,C,4,7.310950691,9.7,1-leaf out,111,Branches
B4,C,2m,C,5,8.3,10.3,1-leaf out,111,Branches
B4,C,2m,C,6,6.9,9.6,1-leaf out,111,Branches
B4,C,2m,C,7,4.4,8.2,1-leaf out,111,Branches
B4,C,2m,C,8,11.38507795,10.1,1-leaf out,111,Branches
B4,C,2m,C,9,11.90336087,10.4,1-leaf out,111,Branches
B4,C,2m,C,10,9.4,11.5,1-leaf out,111,Branches
B4,C,2m,C,11,12.5,10.6,1-leaf out,111,Branches
B4,C,2m,C,13,11.80889495,11.2,1-leaf out,111,Branches
B4,C,2m,C,15,12.44708801,11.2,1-leaf out,111,Branches
B4,C,2m,C,16,8.5,11.9,1-leaf out,111,Branches
B4,C,2m,C,17,7.8,11.3,1-leaf out,111,Branches
B4,C,2m,C,18,13.51480669,13.7,1-leaf out,111,Branches
B4,C,2m,C,19,12.66688596,11.5,1-leaf out,111,Branches
B4,C,2m,C,21,19.05911855,13.4,1-leaf out,111,Branches
B4,C,2m,C,22,15.24040682,13.1,1-leaf out,111,Branches
B4,C,2m,C,23,15.57947368,12.3,1-leaf out,111,Branches
B4,C,2m,C,24,8.9,9.5,1-leaf out,111,Branches
B4,C,2m,C,26,12.7,12,1-leaf out,111,Branches
B4,C,2m,C,27,12.80351514,12.2,1-leaf out,111,Branches
B4,C,2m,C,28,6.519202405,8,1-leaf out,111,Branches
B4,C,2m,C,29,6.989277502,9.3,1-leaf out,111,Branches
B4,C,2m,C,30,10.90412766,10.2,1-leaf out,111,Branches
B3,C,2m,C,781,14.78276023,12.8,1-leaf out,111,Branches
B3,C,2m,C,782,9.7,12.5,1-leaf out,111,Branches
B3,C,2m,C,783,12.83160161,12.5,1-leaf out,111,Branches
B3,C,2m,C,785,9.521029356,9.6,1-leaf out,111,Branches
B3,C,2m,C,786,11.77964346,10,1-leaf out,111,Branches
B3,C,2m,C,787,7.3,10.2,1-leaf out,111,Branches
B3,C,2m,C,788,9.31933474,10.5,1-leaf out,111,Branches
B3,C,2m,C,789,9.774456507,10.3,1-leaf out,111,Branches
B3,C,2m,C,790,2.4,4.9,1-leaf out,111,Branches
B3,C,2m,C,791,10.5,10,1-leaf out,111,Branches
B3,C,2m,C,792,9.538343672,10.1,1-leaf out,111,Branches
B3,C,2m,C,793,13.60036764,10.3,1-leaf out,111,Branches
B3,C,2m,C,794,12.82224629,11.2,1-leaf out,111,Branches
B3,C,2m,C,795,10.61037228,10.3,1-leaf out,111,Branches
B3,C,2m,C,796,11.88107739,10.9,1-leaf out,111,Branches
B3,C,2m,C,797,9.541488354,9.1,1-leaf out,111,Branches
B3,C,2m,C,798,8,9,1-leaf out,111,Branches
B3,C,2m,C,799,11.89621789,7.7,1-leaf out,111,Branches
B3,C,2m,C,800,11.5,11.6,1-leaf out,111,Branches
B3,C,2m,C,801,12.26743657,11.2,1-leaf out,111,Branches
B3,C,2m,C,802,11.31459235,11.2,1-leaf out,111,Branches
B3,C,2m,C,803,12.7,9.6,1-leaf out,111,Branches
B3,C,2m,C,804,12.3434193,9.5,1-leaf out,111,Branches
B3,C,2m,C,806,9.848857802,10.9,1-leaf out,111,Branches
B3,C,2m,C,807,6.717886572,8.2,1-leaf out,111,Branches
B3,C,2m,C,808,14.53203358,8.7,1-leaf out,111,Branches
B3,C,2m,C,809,2.6,5.3,1-leaf out,111,Branches
