sampleID,collection,Julian.date,sampling.day,sampling.date,Block,Spp,Density,tree,DBH,Ht,tissue,N_fraction,C_fraction,sugar_fraction,starch_fraction,tot_NSC_fraction,prop_sugar
6,1-leaf out,111,1,4/21/2019,B1,C,2m,975,6.1,9.8,Branches,0.0033,0.4611,0.030614266,0.017629012,0.0482,0.634854772
46,1-leaf out,111,1,4/21/2019,B4,C,2m,10,9.4,11.5,Branches,0.00495,0.47695,0.033444074,0.053174583,0.0866,0.385681293
30,1-leaf out,111,1,4/21/2019,B3,C,2m,802,11.3,11.2,Branches,0.0047,0.46195,0.028363322,0.068247864,0.0966,0.293995859
22,1-leaf out,111,1,4/21/2019,B3,C,2m,800,11.5,11.6,Branches,0.0049,0.4818,0.04056629,0.069138941,0.1097,0.370100273
38,1-leaf out,111,1,4/21/2019,B4,C,2m,3,12.7,11,Branches,0.00495,0.4687,0.036176598,0.028622038,0.0648,0.558641975
14,1-leaf out,111,1,4/21/2019,B1,C,2m,983,14.2,16,Branches,0.0038,0.4793,0.028807043,0.050891012,0.0797,0.361355082
86,2-shoot expansion,156,45,6/5/2019,B4,C,2m,16,8.5,11.9,Branches,0.0011,0.4559,0.036310709,0.000922769,0.0372,0.975806452
70,2-shoot expansion,156,45,6/5/2019,B3,C,2m,789,9.8,10.3,Branches,0.0024,0.4486,0.033083307,0.000550837,0.0337,0.982195846
62,2-shoot expansion,156,45,6/5/2019,B1,C,2m,988,11.8,14.2,Branches,0.0023,0.4732,0.058830028,0.000943375,0.0597,0.984924623
78,2-shoot expansion,156,45,6/5/2019,B3,C,2m,794,12.8,11.2,Branches,0.0026,0.4421,0.042578678,0.000803987,0.0434,0.98156682
54,2-shoot expansion,156,45,6/5/2019,B1,C,2m,971,13.1,11.6,Branches,0.0014,0.4487,0.032435443,0.000777519,0.0332,0.975903614
94,2-shoot expansion,156,45,6/5/2019,B4,C,2m,23,15.6,12.3,Branches,0.0009,0.471,0.038638018,0.001324712,0.0399,0.967418546
118,3-bud set,233,122,8/21/2019,B3,C,2m,787,7.3,10.2,Branches,0.0033,0.4515,0.050814491,0.010780585,0.0616,0.824675325
102,3-bud set,233,122,8/21/2019,B1,C,2m,968,7.4,10.9,Branches,0.0013,0.4603,0.038194444,0.015001253,0.0532,0.718045113
110,3-bud set,233,122,8/21/2019,B1,C,2m,981,10.1,12.4,Branches,0.0015,0.4633,0.05026455,0.026772459,0.0771,0.652399481
126,3-bud set,233,122,8/21/2019,B3,C,2m,795,10.6,10.3,Branches,0.0018,0.4461,0.05084413,0.00277395,0.0536,0.947761194
134,3-bud set,233,122,8/21/2019,B4,C,2m,9,11.9,10.4,Branches,0.0017,0.4641,0.059494196,0.022322592,0.0818,0.727383863
142,3-bud set,233,122,8/21/2019,B4,C,2m,11,12.5,10.6,Branches,0.0026,0.4579,0.034266018,0.050583228,0.0849,0.404004711
158,4-leaf fall,293,182,10/20/2019,B1,C,2m,976,7.3,11.7,Branches,0.0031,0.4616,0.027253669,0.059360896,0.0867,0.314878893
182,4-leaf fall,293,182,10/20/2019,B4,C,2m,17,7.8,11.3,Branches,0.002,0.4673,0.026105717,0.068121612,0.0942,0.277070064
174,4-leaf fall,293,182,10/20/2019,B3,C,2m,788,9.3,10.5,Branches,0.0007,0.4858,0.029723992,0.054024915,0.0837,0.35483871
150,4-leaf fall,293,182,10/20/2019,B1,C,2m,970,11,11.1,Branches,NA,NA,0.038731542,0.095776835,0.1345,0.287732342
166,4-leaf fall,293,182,10/20/2019,B3,C,2m,783,12.8,12.5,Branches,0.0028,0.47685,0.055094514,0.044367729,0.0995,0.553768844
190,4-leaf fall,293,182,10/20/2019,B4,C,2m,22,15.2,13.1,Branches,0.0016,0.45295,0.035493827,0.062948331,0.0984,0.360772358
204,5-dormancy,25,253,1/25/2020,B1,C,2m,982,7.7,11.9,Branches,0.001,0.4541,0.086851043,0.008038233,0.0949,0.915700738
197,5-dormancy,25,253,1/25/2020,B1,C,2m,977,9.1,12.5,Branches,NA,0.44655,0.001992032,0.000539242,0.0025,0.8
225,5-dormancy,25,253,1/25/2020,B4,C,2m,8,11.4,10.1,Branches,0.0005,0.4898,0.098265896,0.006571891,0.1049,0.937082936
